0,0,0,0
1,한솥도시락 서면교보생명앞점,,부산광역시 부산진구 부전동 535번지 27호 교보생명앞점 
2,송정3대국밥, 051- 806-7181,부산광역시 부산진구 부전동 255번지 15호  
3,바비컬렉션,051 -817 -0725,부산광역시 부산진구 부전동 524번지 36호  
4,롯데양곱창, 051- 807-8750,부산광역시 부산진구 부전동 520번지 1호  
5,백셰프,051 -816 -9173,부산광역시 부산진구 부전동 474번지 36호  
6,울산식당, 051- 809-6135,부산광역시 부산진구 부전동 58번지 1호  
7,서면대복집, 051- 809-3714,"부산광역시 부산진구 부전동 475번지 27호 ,28 "
8,시장칼국수,,부산광역시 부산진구 부전동 256번지 6호  
9,오복, 051- 816-6641,부산광역시 부산진구 부전동 58번지 1호  
10,칼국수집,,부산광역시 부산진구 부전동 256번지 6호  
11,서면포항돼지국밥,051 -808 -4268,부산광역시 부산진구 부전동 255번지 13호 지상1층 
12,삼미식당, 051- 817-3076,"부산광역시 부산진구 부전동 400번지 14호 번지(1,2층일부) "
13,골목식당, 051-803 -3850,부산광역시 부산진구 부전동 516번지 3호  
14,한림정, 051- 809-0977,부산광역시 부산진구 부전동 260번지 58호  
15,부영식당, 051- 809-1682,부산광역시 부산진구 부전동 262번지 9호  
16,서면고려삼계탕, 051-806 -6920,"부산광역시 부산진구 부전동 240번지 14호 지상1,2층 "
17,시장분식센타,,부산광역시 부산진구 부전동 256번지 6호  
18,제일식당, 051- 802-6339,부산광역시 부산진구 부전동 149번지 8호  
19,기장산곰장어, 051- 802-8039,부산광역시 부산진구 부전동 346번지 39호  
20,조실장, 051- 805-8695,부산광역시 부산진구 부전동 352번지 7호  
21,우정분식, 051-803 -0303,부산광역시 부산진구 부전동 168번지 365호  
22,속닥속닭서면점, 051- 802-1163,부산광역시 부산진구 부전동 158번지 9호  
23,장우동, 051- 802-9173,부산광역시 부산진구 부전동 191번지 1호 지하1층 
24,청진동아구찜,051 -807 -5292,부산광역시 부산진구 부전동 403번지 19호  
25,대명반점, 051- 809-6722,부산광역시 부산진구 부전동 266번지 9호  
26,정선생, 051- 806-4580,부산광역시 부산진구 부전동 232번지 13호  
27,진주복국집,,부산광역시 부산진구 부전동 168번지 117호  
28,해물왕거제도굴구이, 051- 806-8898,부산광역시 부산진구 부전동 519번지 24호  
29,개성상황버섯삼계탕, 051- 806-6369,부산광역시 부산진구 부전동 517번지 22호  
30,시골추어탕, 051- 809-9562,부산광역시 부산진구 부전동 263번지 30호  
31,흥부네식당, 051- 806-5934,부산광역시 부산진구 부전동 122번지 19호  
32,술고당,,부산광역시 부산진구 부전동 255번지 10호  
33,부산양곱창1호, 051- 807-7746,부산광역시 부산진구 부전동 520번지 2호  
34,수,051 -803 -0304,부산광역시 부산진구 부전동 242번지 33호 지상2층 
35,대박생생오리, 051- 817-4600,부산광역시 부산진구 부전동 265번지 2호  
36,일미집, 051- 807-8959,부산광역시 부산진구 부전동 144번지 2호  
37,주식회사급행장, 051- 807-0087,부산광역시 부산진구 부전동 485번지 19호  
38,산정,,부산광역시 부산진구 부전동 520번지 9호 지상1층 
39,아는오빠, 051- 803-8450,부산광역시 부산진구 부전동 168번지 155호 지상1층 
40,남도꼬막한정식,,부산광역시 부산진구 부전동 519번지 9호  
41,길가온삼계탕, 051- 803-2026,"부산광역시 부산진구 부전동 474번지 4호 ,144 "
42,대서양식당,051 -809 -0190,부산광역시 부산진구 부전동 477번지 16호  
43,일출, 051- 809-6282,부산광역시 부산진구 부전동 130번지 5호  
44,진주식당, 051- 809-6356,부산광역시 부산진구 부전동 100번지 22호 지상1-2층전체 
45,백년가마솥통닭, 051- 805-5070,부산광역시 부산진구 부전동 261번지 1호  
46,동해물회, 051- 809-3305,부산광역시 부산진구 부전동 142번지 5호  
47,명성, 051- 805-2525,부산광역시 부산진구 부전동 520번지 37호  
48,우마루, 051- 806-2382,부산광역시 부산진구 부전동 517번지 27호  
49,제일분식,,부산광역시 부산진구 부전동 224번지 3호  
